userId,rating,knowledgeId,name
1,0.50,1,输入
1,3.00,2,算法效率
1,3.00,3,顺序存储
1,5.00,4,后序线索二叉树
1,2.50,5,双亲表示法
1,4.00,6,栈的基本操作
1,3.50,7,层次遍历
1,1.00,8,检索
1,4.00,9,二叉平衡树
1,3.50,10,多路归并排序
1,4.00,11,散列函数的构造方法
1,3.50,12,希尔排序
1,1.00,13,插入
1,3.50,14,图的存储
1,1.00,15,数据结构
1,2.50,16,无向图
1,5.00,17,关键路径
1,4.00,18,树
1,5.00,19,Dijkstra算法
1,2.50,20,稀疏图
1,2.50,21,路径
1,4.00,22,线性探测法
1,2.50,23,有向图
1,2.50,24,多维数组
1,3.00,25,强连通图
1,3.50,26,B+树
1,4.00,27,栈
1,3.00,28,定长顺序存储
1,2.50,29,多重图
1,2.50,30,连通图
1,4.00,31,顺序栈
1,3.00,32,权
1,1.50,33,块链存储
1,3.50,34,孩子表示法
1,3.50,35,邻接多重表
1,2.00,36,存储结构
1,1.00,37,算法
1,3.00,38,顺序表的删除
1,5.00,39,二叉排序树的构造
1,3.50,40,AOE网
1,2.50,41,关键字
1,3.50,42,再散列法
1,3.00,43,处理冲突的方法
1,3.00,44,单链表的定义
1,3.00,45,链栈
1,1.50,46,网
1,5.00,47,后序遍历
1,3.00,48,除留余数法
1,3.00,49,串
1,1.00,50,无序树
1,2.00,51,完全图
1,5.00,52,图的遍历
1,3.00,53,线性表的基本操作
1,5.00,54,哈夫曼编码
1,4.00,55,散列函数
1,2.00,56,简单回路
1,5.00,57,哈夫曼树的定义
1,5.00,58,哈夫曼树的构造
1,4.00,59,堆分配存储
1,3.50,60,双链表的基本操作
1,3.50,61,链式队列的基本操作
1,5.00,62,最短路径
1,4.00,63,散列表
1,0.50,64,删除
1,4.00,65,KMP算法
1,2.00,66,广义表
1,5.00,67,中序遍历
1,5.00,68,二叉排序树
1,2.00,69,连通
1,2.00,70,有序树
1,5.00,71,二叉排序树的删除
1,2.00,72,外部排序
1,5.00,73,Prim算法
1,3.00,74,循环链表
1,3.50,75,双端队列
1,5.00,76,哈夫曼树
1,3.50,77,简单选择排序
1,5.00,78,二叉树的链式存储结构
1,1.00,79,确定性
1,2.00,80,压缩存储
1,2.50,81,连通分量
1,3.50,82,交换排序
1,3.00,83,单链表
1,1.00,84,更新
1,3.50,85,结点的高度
1,4.00,86,结点的度
1,3.50,87,回路
1,2.00,88,指针数组
1,2.50,89,图的定义
1,5.00,90,平衡二叉树
1,5.00,91,平衡二叉树的查找
1,3.00,92,顺序表
1,2.50,93,循环双链表
1,3.50,94,归并排序
1,3.50,95,初始化线性表
1,3.00,96,暴力匹配算法
1,3.50,97,尾插法建立单链表
1,2.50,98,集合
1,5.00,99,图
1,3.50,100,分块查找
1,3.50,101,拉链法
1,5.00,102,深度优先遍历
1,1.50,103,查找
1,3.00,104,链式存储
1,5.00,105,最小生成树
1,4.00,106,邻接表法
1,2.50,107,稠密图
1,3.50,108,伪随机序列法
1,3.00,109,非线性结构
1,3.00,110,结点的深度
1,3.00,111,静态链表
1,2.00,112,结构数组
1,4.00,113,折半查找
1,3.50,114,插入排序
1,3.00,115,队头
1,3.00,116,单链表的基本操作
1,3.50,117,子串
1,3.50,118,排序
1,2.00,119,距离
1,3.00,120,单链表按值查找表结点
1,2.00,121,数字分析法
1,2.50,122,并查集
1,4.00,123,生成深林
1,3.00,124,队列
1,3.00,125,单链表按序号查找结点值
1,4.00,126,顺序栈的实现
1,3.50,127,链式队列判空
1,5.00,128,图的应用
1,3.50,129,哈希存储
1,5.00,130,二叉排序树的插入
1,5.00,131,Kruskal算法
1,5.00,132,生成树
1,3.00,133,线性表按位查找
1,2.00,134,内部排序
1,3.00,135,顺序查找
1,4.00,136,模式匹配算法
1,3.00,137,静态查找表
1,5.00,138,Floyd算法
1,1.00,139,逻辑结构
1,4.00,140,时间复杂度
1,2.00,141,线性结构
1,5.00,142,满二叉树
1,4.00,143,邻接矩阵法
1,3.50,144,顶点的度
1,1.50,145,一维数组
1,5.00,146,先序线索二叉树
1,3.00,147,入度
1,3.50,148,链式队列初始化
1,2.50,149,简单图
1,4.00,150,RL平衡旋转
1,3.00,151,顺序表的基本操作
1,3.00,152,串长
1,3.50,153,开放地址法
1,3.50,154,平方探测法
1,3.50,155,折半插入排序
1,4.00,156,树的高度
1,2.00,157,查找的基本概念
1,3.00,158,双链表的插入
1,3.50,159,平方取中法
1,3.00,160,链式队列
1,2.00,161,树的基本术语
1,2.50,162,强连通分量
1,3.00,163,链表
1,5.00,164,二叉树
1,4.00,165,孩子兄弟表示法
1,3.50,166,二叉树的顺序存储结构
1,4.50,167,LL平衡旋转
1,1.00,168,有穷性
1,3.00,169,求线性表长
1,1.00,170,可行性
1,3.00,171,队列的基本概念
1,5.00,172,图形结构
1,3.50,173,散列结构
1,5.00,174,先序遍历
1,4.00,175,顺序栈的基本运算
1,5.00,176,中序线索二叉树
1,2.50,177,空间复杂度
1,2.00,178,索引存储
1,4.00,179,稀疏矩阵
1,4.50,180,B树
1,0.50,181,输出
1,0.50,182,物理结构
1,0.00,183,数值数组
1,4.50,184,RR平衡旋转
1,3.00,185,有向树
1,3.00,186,双链表的删除
1,4.50,187,LR平衡旋转
1,3.50,188,选择排序
1,3.00,189,循环单链表
1,4.50,190,平均查找长度
1,5.00,191,树形结构
1,3.50,192,主串
1,5.00,193,二叉树的遍历
